                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 2.4556,                 3.1582,                  2.849,                0.09943,                0.13139,                0.05124,                0.02476,                   2.69,                 5.4554,                  2.959,              0.0015974,              0.0015974,              0.0015974
                     63,                 2.5724,                 3.0657,                 2.8983,                0.08245,                0.27007,                0.08164,                0.04017,                 2.7081,                 3.8741,                 2.9087,              0.0015908,              0.0015908,              0.0015908
                     64,                 2.6056,                 3.1112,                 2.8303,                0.20976,                0.22628,                0.12403,                0.05367,                  2.698,                 3.0412,                 2.7668,              0.0015842,              0.0015842,              0.0015842
                     65,                 2.5737,                 3.1714,                 2.8416,                0.15583,                0.27007,                0.10949,                0.03871,                  2.625,                 3.1741,                 2.7011,              0.0015776,              0.0015776,              0.0015776
                     66,                 2.4792,                 3.0845,                 2.8035,                0.13875,                0.25547,                0.07925,                0.02897,                 2.6391,                 3.3152,                 2.7076,               0.001571,               0.001571,               0.001571
                     67,                 2.4614,                 3.0873,                 2.6806,                0.14307,                0.17518,                0.06348,                0.02872,                 2.6145,                   3.23,                 2.7217,              0.0015644,              0.0015644,              0.0015644
                     68,                 2.5576,                  3.164,                 2.7579,                0.13329,                0.29197,                0.08599,                0.03744,                 2.6065,                 3.1531,                 2.6857,              0.0015578,              0.0015578,              0.0015578
                     69,                 2.4796,                  3.147,                 2.8029,                0.11413,                0.26277,                0.09628,                0.03538,                 2.5581,                 3.2484,                 2.6627,              0.0015512,              0.0015512,              0.0015512
                     70,                 2.4303,                 3.0686,                    2.7,                0.13836,                0.13139,                0.06604,                0.02447,                 2.5314,                 4.2312,                  2.673,              0.0015446,              0.0015446,              0.0015446
                     71,                 2.5599,                 3.0931,                 2.7761,                0.11645,                0.15328,                0.06971,                0.03035,                 2.4909,                 3.8112,                  2.662,               0.001538,               0.001538,               0.001538
                     72,                 2.3451,                 3.0103,                 2.7136,                0.03925,                0.35766,                0.08186,                0.02374,                 2.5175,                  3.397,                 2.6363,              0.0015314,              0.0015314,              0.0015314
                     73,                 2.4066,                   3.01,                 2.7817,                0.09601,                0.20438,                0.08082,                0.03717,                 2.4857,                 3.0937,                 2.5595,              0.0015248,              0.0015248,              0.0015248
                     74,                 2.4145,                 3.1137,                 2.6999,                0.13203,                0.21168,                0.11199,                0.04804,                 2.4659,                 2.9762,                 2.6322,              0.0015182,              0.0015182,              0.0015182
                     75,                  2.405,                 3.0112,                 2.6775,                0.19966,                0.27007,                0.13345,                0.05708,                 2.4165,                 3.0009,                 2.6274,              0.0015116,              0.0015116,              0.0015116
                     76,                  2.427,                 2.9505,                 2.7033,                  0.212,                0.17518,                0.14746,                0.06578,                 2.3624,                 2.9832,                 2.5633,               0.001505,               0.001505,               0.001505
                     77,                 2.3981,                 3.2317,                 2.6725,                0.27504,                0.18248,                0.16828,                0.06232,                 2.4346,                 3.1686,                 2.6104,              0.0014984,              0.0014984,              0.0014984
