                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.6275,                 1.4352,                 1.7397,                0.82281,                0.65036,                0.74912,                0.42529,                  1.548,                 1.2821,                 1.7185,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.6341,                 1.4017,                 1.7586,                0.79503,                0.65266,                0.74638,                0.43681,                  1.467,                 1.3536,                 1.6501,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.6053,                 1.4004,                 1.7273,                0.79591,                0.65966,                0.76203,                0.44407,                 1.4888,                 1.2229,                 1.6663,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.5833,                 1.3978,                 1.7046,                0.81496,                0.64706,                0.75431,                0.43546,                 1.4946,                 1.2207,                 1.6509,               0.000812,               0.000812,               0.000812
                     62,                 1.5607,                  1.357,                 1.6658,                0.76849,                0.66946,                0.76103,                0.44542,                 1.4485,                 1.2042,                 1.6311,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.5536,                 1.3924,                  1.699,                0.82642,                0.68347,                0.77712,                 0.4755,                 1.4313,                 1.2199,                 1.6245,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.5544,                 1.3405,                 1.6717,                0.82595,                0.68768,                0.78147,                0.47133,                 1.4224,                  1.157,                 1.6118,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.5543,                 1.3495,                 1.6954,                0.82766,                0.66947,                0.78212,                0.46136,                 1.4239,                 1.2429,                 1.6091,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.5586,                 1.3363,                 1.6897,                0.82728,                 0.6574,                0.77321,                0.44995,                 1.4406,                 1.2012,                 1.6183,               0.000713,               0.000713,               0.000713
                     67,                 1.5479,                 1.3177,                 1.6675,                0.85746,                0.70028,                0.79644,                0.48323,                 1.4137,                 1.1473,                 1.5993,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.5196,                 1.3162,                 1.6869,                0.80776,                0.72384,                0.79614,                0.49221,                 1.3698,                 1.1327,                 1.5631,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.4806,                 1.2419,                 1.6635,                0.80482,                0.65966,                0.77083,                0.46357,                 1.4147,                 1.1749,                   1.62,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.5279,                 1.2724,                 1.6923,                0.84328,                0.71569,                0.80573,                0.49419,                  1.366,                 1.1385,                 1.5757,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.4609,                 1.2224,                 1.6348,                0.83559,                0.74031,                0.81266,                 0.4955,                 1.3959,                 1.0542,                 1.5773,               0.000614,               0.000614,               0.000614
                     72,                 1.5066,                  1.233,                 1.6742,                0.83986,                0.69778,                0.79509,                0.48869,                 1.3562,                 1.0991,                 1.5481,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.5351,                 1.2642,                  1.682,                0.85004,                0.70728,                0.81254,                 0.4795,                 1.3993,                 1.1256,                 1.5833,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.4889,                 1.2326,                 1.6124,                0.85987,                0.72192,                0.81876,                0.51864,                 1.3145,                 1.0485,                  1.521,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.4576,                 1.1642,                 1.6104,                0.85083,                 0.7619,                0.82987,                0.53308,                 1.3017,                0.99955,                   1.51,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.4298,                 1.1588,                 1.6088,                0.86217,                 0.7577,                0.83064,                0.51146,                 1.3548,                 1.0823,                  1.543,               0.000515,               0.000515,               0.000515
                     77,                 1.4429,                  1.186,                  1.639,                 0.8966,                0.76513,                0.83764,                0.53244,                 1.3115,                 1.0136,                 1.5294,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.4501,                 1.2153,                 1.6284,                 0.8613,                 0.7591,                0.83915,                0.53621,                 1.2883,                0.99191,                 1.5066,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.4493,                 1.1716,                  1.607,                0.85389,                0.76891,                0.83615,                 0.5416,                 1.2913,                0.97399,                 1.4976,              0.0004556,              0.0004556,              0.0004556
                     80,                  1.393,                 1.1277,                 1.5573,                0.85984,                 0.7409,                0.82525,                0.53184,                 1.2645,                 1.0046,                 1.4802,              0.0004358,              0.0004358,              0.0004358
                     81,                  1.393,                 1.1315,                 1.5648,                0.87196,                0.77311,                0.84799,                0.55763,                 1.2509,                0.94307,                 1.4742,               0.000416,               0.000416,               0.000416
                     82,                 1.4074,                 1.1358,                 1.6008,                0.88469,                 0.7493,                0.83764,                0.54275,                 1.2584,                0.96613,                 1.4816,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.3691,                 1.1111,                 1.5484,                0.85014,                0.78431,                0.83729,                0.53728,                 1.2428,                0.98832,                 1.4757,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.3701,                 1.0771,                  1.553,                0.87016,                0.78711,                0.84893,                0.56551,                 1.2188,                0.93144,                 1.4605,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.3627,                 1.0769,                 1.5351,                0.87965,                0.80392,                0.85288,                0.57108,                 1.1844,                0.90613,                   1.44,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.3733,                 1.0977,                 1.5349,                0.88451,                0.77171,                0.84727,                0.56083,                 1.1995,                0.91787,                 1.4423,               0.000317,               0.000317,               0.000317
                     87,                 1.3447,                 1.1077,                 1.5267,                0.88402,                0.77871,                0.84842,                0.57562,                 1.1678,                0.97772,                 1.4141,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.3973,                 1.1023,                  1.564,                0.89937,                0.78856,                0.85807,                0.57689,                 1.1823,                0.88943,                 1.4267,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.3427,                 1.1049,                 1.5596,                0.89601,                0.78992,                0.85679,                0.57612,                 1.1731,                0.91528,                 1.4201,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.3432,                 1.0722,                 1.5275,                0.89167,                0.79541,                0.85565,                0.58117,                 1.1637,                0.88011,                 1.4051,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.2823,                 1.0134,                 1.4733,                0.91939,                0.79866,                 0.8598,                0.57042,                  1.201,                0.90227,                 1.4131,               0.000218,               0.000218,               0.000218
                     92,                 1.2733,                0.96391,                 1.4726,                0.90602,                0.77731,                0.85304,                0.57827,                 1.1629,                0.89216,                 1.4111,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.2353,                0.90685,                 1.4222,                0.90845,                0.79972,                0.86639,                0.59056,                 1.1675,                0.86016,                 1.3995,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.2316,                0.93816,                 1.4385,                0.91136,                0.80252,                0.86267,                0.58964,                 1.1521,                 0.8782,                 1.3933,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.2195,                0.92577,                 1.4285,                0.87855,                0.80035,                0.85954,                0.59652,                 1.1214,                0.87069,                 1.3745,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.1841,                0.87935,                 1.4391,                0.90771,                0.80392,                0.86724,                 0.5906,                 1.1363,                 0.8369,                 1.3885,               0.000119,               0.000119,               0.000119
                     97,                  1.219,                0.91472,                 1.4288,                0.92076,                0.79742,                0.87024,                0.60094,                 1.1138,                0.83553,                 1.3718,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.2075,                0.89705,                 1.4373,                0.92652,                0.79132,                0.86648,                  0.612,                 1.0949,                0.81481,                 1.3635,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.1612,                0.86034,                 1.3799,                0.93155,                0.79272,                0.86782,                0.61087,                 1.0908,                0.81514,                 1.3572,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.1905,                0.85993,                  1.417,                0.93809,                0.78431,                0.86792,                0.61552,                  1.086,                0.82286,                 1.3479,               3.98e-05,               3.98e-05,               3.98e-05
