                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.7527,                  1.545,                 1.9744,                0.91772,                0.64557,                0.80028,                  0.433,                 1.6918,                  1.457,                  1.982,              0.0015182,              0.0015182,              0.0015182
                     75,                 1.7209,                 1.4576,                 1.9284,                0.91495,                0.66456,                0.80409,                0.46546,                 1.6112,                 1.3638,                 1.9448,              0.0015116,              0.0015116,              0.0015116
                     76,                 1.7323,                  1.505,                 1.9489,                0.93455,                0.63263,                0.78429,                0.47253,                 1.6394,                 1.4003,                 1.9407,               0.001505,               0.001505,               0.001505
                     77,                 1.6946,                  1.434,                 1.9061,                0.86769,                0.62262,                0.79406,                0.47145,                 1.6357,                  1.461,                 1.9301,              0.0014984,              0.0014984,              0.0014984
                     78,                 1.8043,                 1.5579,                 1.9641,                0.83383,                0.73046,                0.85218,                 0.5015,                 1.5676,                 1.4464,                 1.8988,              0.0014918,              0.0014918,              0.0014918
                     79,                  1.623,                   1.42,                 1.8968,                0.85531,                0.79114,                0.86764,                0.53002,                 1.5124,                 1.4982,                 1.8441,              0.0014852,              0.0014852,              0.0014852
                     80,                 1.7391,                  1.455,                 1.9395,                0.91856,                 0.6519,                0.81418,                0.45867,                 1.6099,                 1.5908,                 1.9379,              0.0014786,              0.0014786,              0.0014786
                     81,                 1.7477,                 1.5382,                 2.0024,                0.90208,                0.71519,                0.83439,                0.51187,                  1.536,                 1.4256,                  1.879,               0.001472,               0.001472,               0.001472
                     82,                 1.7083,                 1.4261,                  1.958,                0.85961,                0.79114,                0.86951,                0.53697,                 1.5126,                 1.2973,                 1.8601,              0.0014654,              0.0014654,              0.0014654
                     83,                 1.6816,                 1.4428,                 1.9077,                0.83195,                0.72152,                0.85876,                0.53567,                 1.5056,                  1.277,                 1.8466,              0.0014588,              0.0014588,              0.0014588
                     84,                 1.6244,                   1.38,                 1.8747,                0.91291,                0.66456,                0.83012,                 0.5191,                 1.5124,                 1.3247,                 1.8508,              0.0014522,              0.0014522,              0.0014522
                     85,                 1.6093,                 1.3957,                 1.8891,                0.88473,                0.68009,                0.79889,                0.46402,                 1.5706,                  1.371,                 1.9077,              0.0014456,              0.0014456,              0.0014456
                     86,                 1.6166,                 1.4076,                 1.9219,                0.92072,                0.68354,                0.84126,                0.53562,                 1.4893,                 1.2766,                 1.8652,               0.001439,               0.001439,               0.001439
                     87,                 1.5733,                 1.3733,                 1.8038,                0.92831,                 0.6962,                0.86836,                0.55994,                 1.4479,                 1.2036,                 1.8286,              0.0014324,              0.0014324,              0.0014324
                     88,                 1.6364,                   1.43,                 1.8773,                0.91988,                0.72152,                0.87854,                0.56668,                 1.4078,                 1.1943,                 1.8205,              0.0014258,              0.0014258,              0.0014258
                     89,                 1.5703,                 1.3546,                 1.8553,                0.92943,                0.72152,                0.87277,                 0.5651,                 1.4242,                 1.2306,                  1.835,              0.0014192,              0.0014192,              0.0014192
                     90,                  1.618,                 1.3912,                  1.912,                  0.814,                0.74789,                0.82484,                0.54201,                 1.4728,                 1.3452,                 1.8615,              0.0014126,              0.0014126,              0.0014126
                     91,                 1.6298,                 1.4213,                 1.8896,                0.78536,                0.70253,                0.77096,                0.48265,                  1.491,                 1.4672,                 1.8674,               0.001406,               0.001406,               0.001406
                     92,                 1.6072,                 1.4111,                 1.9022,                0.83649,                0.80949,                0.87585,                0.57069,                  1.419,                 1.2678,                 1.8125,              0.0013994,              0.0013994,              0.0013994
                     93,                 1.5043,                 1.3919,                 1.8086,                0.91421,                0.68354,                0.84684,                 0.5474,                 1.4481,                 1.2899,                 1.8128,              0.0013928,              0.0013928,              0.0013928
                     94,                 1.5084,                 1.2807,                  1.736,                  0.838,                0.68756,                0.82852,                0.49841,                 1.5156,                 1.3172,                  1.854,              0.0013862,              0.0013862,              0.0013862
                     95,                 1.6466,                 1.4088,                 1.8366,                0.78429,                0.71338,                0.81311,                0.51448,                 1.4359,                 1.2632,                 1.8175,              0.0013796,              0.0013796,              0.0013796
                     96,                  1.605,                 1.4079,                  1.889,                0.87191,                0.77547,                0.89132,                0.53626,                 1.4536,                 1.2492,                 1.8255,               0.001373,               0.001373,               0.001373
                     97,                 1.5317,                 1.3306,                 1.7932,                0.87335,                0.69831,                0.85058,                0.56176,                 1.3935,                 1.2421,                 1.7843,              0.0013664,              0.0013664,              0.0013664
                     98,                 1.6365,                  1.343,                 1.8111,                0.87452,                0.68354,                0.79419,                0.50913,                  1.434,                 1.7467,                 1.7801,              0.0013598,              0.0013598,              0.0013598
                     99,                 1.4857,                 1.3353,                 1.7533,                 0.9347,                0.72473,                0.85363,                0.53219,                 1.4419,                 1.5567,                 1.7783,              0.0013532,              0.0013532,              0.0013532
                    100,                 1.5839,                 1.3483,                 1.8042,                0.85092,                0.79475,                0.90432,                0.56534,                 1.4426,                 1.2109,                 1.7576,              0.0013466,              0.0013466,              0.0013466
                    101,                 1.5657,                 1.3514,                  1.836,                0.96216,                0.80472,                0.92262,                0.59533,                 1.3935,                 1.2082,                 1.7485,                0.00134,                0.00134,                0.00134
                    102,                 1.5577,                  1.343,                  1.839,                0.91114,                0.72152,                0.85063,                0.57326,                  1.347,                 1.3847,                 1.7145,              0.0013334,              0.0013334,              0.0013334
                    103,                 1.4459,                 1.2955,                 1.7123,                0.92109,                0.66456,                0.80896,                0.51112,                  1.418,                 1.5319,                 1.7897,              0.0013268,              0.0013268,              0.0013268
                    104,                 1.4787,                 1.1914,                 1.7596,                0.96591,                 0.6962,                0.85972,                0.57815,                 1.3197,                 1.1934,                 1.7118,              0.0013202,              0.0013202,              0.0013202
                    105,                 1.4721,                 1.1982,                  1.758,                0.94429,                0.75091,                0.91116,                0.60373,                  1.331,                 1.0685,                 1.6976,              0.0013136,              0.0013136,              0.0013136
                    106,                 1.4855,                 1.2695,                 1.7729,                 0.9289,                0.74417,                0.90509,                0.60725,                 1.3007,                 1.1103,                 1.6693,               0.001307,               0.001307,               0.001307
                    107,                 1.5686,                 1.2882,                 1.8277,                0.81749,                0.82214,                0.90499,                0.57623,                 1.3917,                 1.1676,                 1.6937,              0.0013004,              0.0013004,              0.0013004
                    108,                 1.5792,                 1.3223,                  1.786,                 0.8981,                 0.7252,                0.89677,                0.60383,                 1.3123,                 1.0941,                 1.6919,              0.0012938,              0.0012938,              0.0012938
                    109,                 1.4544,                 1.2272,                 1.7606,                 0.8129,                0.79744,                0.89032,                0.59288,                 1.3394,                 1.0903,                 1.7105,              0.0012872,              0.0012872,              0.0012872
                    110,                 1.4208,                 1.3033,                 1.7315,                0.90528,                0.75949,                0.89207,                0.59401,                 1.3396,                 1.1788,                 1.7154,              0.0012806,              0.0012806,              0.0012806
                    111,                 1.5193,                 1.2522,                 1.7685,                0.75845,                0.68987,                0.79705,                0.52815,                 1.3748,                  1.902,                   1.74,               0.001274,               0.001274,               0.001274
                    112,                 1.4812,                 1.1728,                 1.6863,                0.80565,                0.67089,                0.82133,                0.54467,                   1.37,                 1.7495,                 1.7428,              0.0012674,              0.0012674,              0.0012674
                    113,                 1.4453,                 1.2523,                  1.736,                0.91853,                0.71359,                0.85918,                0.57834,                 1.3599,                 1.3452,                  1.729,              0.0012608,              0.0012608,              0.0012608
                    114,                 1.4795,                 1.2897,                 1.7618,                 0.8449,                 0.8038,                0.89696,                0.58778,                  1.339,                  1.172,                 1.6788,              0.0012542,              0.0012542,              0.0012542
                    115,                 1.4459,                 1.1824,                 1.7178,                0.90203,                0.74684,                0.86938,                0.55903,                 1.4227,                 1.1484,                 1.8006,              0.0012476,              0.0012476,              0.0012476
                    116,                 1.4786,                 1.2765,                 1.7672,                0.84362,                0.81943,                0.91423,                0.59542,                 1.3804,                 1.1215,                 1.7245,               0.001241,               0.001241,               0.001241
                    117,                 1.4955,                 1.2456,                 1.7348,                0.89336,                0.81013,                0.91962,                0.61241,                 1.2977,                 1.1288,                  1.662,              0.0012344,              0.0012344,              0.0012344
                    118,                 1.5074,                 1.2853,                 1.7171,                0.85392,                 0.8038,                0.90281,                0.57709,                 1.3405,                 1.1464,                 1.7126,              0.0012278,              0.0012278,              0.0012278
                    119,                 1.4113,                 1.2316,                 1.7118,                0.90537,                0.77848,                 0.9244,                0.63507,                 1.2506,                 1.0485,                 1.6227,              0.0012212,              0.0012212,              0.0012212
                    120,                  1.475,                 1.2642,                 1.7237,                0.88179,                0.86076,                0.93394,                0.61883,                 1.3063,                 1.0463,                 1.6619,              0.0012146,              0.0012146,              0.0012146
                    121,                 1.4261,                 1.1655,                 1.6847,                0.86683,                0.86514,                0.92936,                0.62913,                 1.2938,                 1.0297,                 1.6545,               0.001208,               0.001208,               0.001208
                    122,                 1.3841,                 1.1179,                 1.6435,                0.95917,                0.74684,                0.92407,                0.64252,                 1.2484,                0.96905,                 1.6557,              0.0012014,              0.0012014,              0.0012014
                    123,                 1.3632,                 1.1478,                 1.6721,                0.91871,                0.75316,                0.88863,                0.60706,                 1.2801,                 1.0682,                 1.6712,              0.0011948,              0.0011948,              0.0011948
                    124,                 1.4808,                 1.1896,                 1.7131,                 0.9232,                0.76582,                0.89025,                0.60328,                 1.2834,                 1.1068,                  1.689,              0.0011882,              0.0011882,              0.0011882
                    125,                 1.4698,                 1.2665,                 1.7511,                0.92813,                 0.8481,                 0.9307,                0.62045,                 1.2756,                 1.0834,                 1.6454,              0.0011816,              0.0011816,              0.0011816
                    126,                 1.4901,                 1.2789,                 1.7416,                0.92908,                0.82918,                0.94191,                 0.6325,                 1.2509,                 1.1918,                 1.6313,               0.001175,               0.001175,               0.001175
                    127,                 1.3563,                 1.1085,                 1.5768,                0.91045,                0.83649,                0.93867,                0.65852,                 1.2012,                  1.116,                  1.608,              0.0011684,              0.0011684,              0.0011684
                    128,                 1.4091,                  1.201,                 1.6767,                0.87381,                0.83274,                0.93045,                0.61575,                 1.3071,                 1.0014,                 1.6463,              0.0011618,              0.0011618,              0.0011618
                    129,                 1.4701,                 1.2249,                 1.7565,                 0.8435,                 0.8481,                0.93151,                0.62479,                 1.2541,                0.97855,                 1.6334,              0.0011552,              0.0011552,              0.0011552
                    130,                 1.3889,                   1.19,                 1.7118,                0.93072,                0.85033,                0.95252,                0.66995,                 1.2218,                0.90877,                 1.6003,              0.0011486,              0.0011486,              0.0011486
                    131,                 1.3837,                 1.1434,                  1.697,                0.83779,                0.82278,                0.90796,                0.61215,                 1.2885,                 1.0289,                 1.6492,               0.001142,               0.001142,               0.001142
                    132,                 1.3412,                 1.1515,                 1.6734,                 0.9172,                0.77215,                0.91029,                0.62848,                  1.236,                  1.055,                 1.5846,              0.0011354,              0.0011354,              0.0011354
                    133,                 1.3687,                 1.1664,                 1.6366,                0.91062,                0.83544,                0.92015,                 0.6415,                 1.1764,                0.98173,                 1.5606,              0.0011288,              0.0011288,              0.0011288
                    134,                 1.3291,                 1.1134,                 1.6452,                0.87139,                0.83544,                 0.9252,                0.64353,                 1.2361,                0.98207,                 1.6019,              0.0011222,              0.0011222,              0.0011222
                    135,                 1.3546,                 1.1237,                 1.6389,                 0.8809,                0.77848,                0.91033,                0.62533,                  1.279,                 1.0307,                 1.6341,              0.0011156,              0.0011156,              0.0011156
                    136,                 1.3273,                 1.0629,                 1.5843,                0.89955,                0.79354,                0.92294,                0.65159,                 1.1962,                0.98204,                 1.5664,               0.001109,               0.001109,               0.001109
                    137,                 1.3017,                 1.0725,                 1.6176,                0.91296,                0.86303,                0.94947,                0.67452,                 1.1689,                0.98164,                 1.5405,              0.0011024,              0.0011024,              0.0011024
                    138,                 1.3136,                 1.1679,                 1.6569,                0.88265,                0.80929,                0.92916,                0.62652,                 1.1851,                 1.0027,                 1.5608,              0.0010958,              0.0010958,              0.0010958
                    139,                 1.3369,                 1.1353,                 1.6333,                0.92676,                0.80083,                0.93414,                0.66302,                 1.1576,                0.92019,                 1.5487,              0.0010892,              0.0010892,              0.0010892
                    140,                 1.2581,                0.99585,                 1.5511,                0.92675,                0.77848,                0.92032,                0.64755,                 1.2165,                0.95774,                 1.5932,              0.0010826,              0.0010826,              0.0010826
                    141,                 1.3298,                 1.0877,                 1.6325,                0.87777,                0.82278,                0.92963,                0.66186,                 1.1669,                0.93347,                 1.5487,               0.001076,               0.001076,               0.001076
                    142,                 1.3216,                 1.1103,                 1.6342,                 0.9162,                0.83037,                0.94572,                0.66077,                 1.1857,                0.97855,                 1.5754,              0.0010694,              0.0010694,              0.0010694
                    143,                 1.3661,                 1.0964,                 1.6314,                0.94268,                0.83267,                0.93235,                0.65526,                 1.2021,                0.97509,                  1.598,              0.0010628,              0.0010628,              0.0010628
                    144,                 1.3163,                 1.0711,                 1.5911,                0.91815,                0.81013,                0.90918,                0.61015,                 1.2955,                 1.0272,                 1.6831,              0.0010562,              0.0010562,              0.0010562
                    145,                 1.2943,                  1.023,                 1.5657,                0.90359,                0.79747,                0.91342,                0.63141,                 1.2235,                 1.0106,                 1.5923,              0.0010496,              0.0010496,              0.0010496
